provider;provider_country_name;provider_country_iso3;host_country_name;host_country_iso3;region_name;location;az_number;launch_year;source;;;;
Google Cloud;United States of America;USA;Chile;CHL;southamerica-west1 (Santiago);Santiago;1;2021;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;South Africa;ZAF;africa-south1 (Johannesburg);Johannesburg;1;2024;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Spain;ESP;europe-southwest1 (Madrid);Madird;1;2022;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Italy;ITA;europe-west12 (Turin);Turin;1;2023;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Italy;ITA;europe-west8 (Milan);Milan;1;2022;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;France;FRA;europe-west9 (Paris);Paris;1;2022;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;United Kingdom;GBR;europe-west2 (London);London;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Belgium;BEL;europe-west1 (Belgium);Belgium;1;2015;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Netherlands;NLD;europe-west4 (Netherlands);Netherlands;1;2018;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Germany;DEU;europe-west3 (Frankfurt);Frankfurt;1;2017;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Germany;DEU;europe-west10 (Berlin);Berlin;1;2023;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Switzerland;CHE;europe-west6 (Zurich);Zurich;1;2019;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Poland;POL;europe-central2 (Warsaw);Warsaw;1;2021;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Sweden;SWE;europe-north2 (Stockholm);Stockholm;1;2025;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Finland;FIN;europe-north1 (Finland);Finland;1;2018;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Israel;ISR;me-west1 (Tel Aviv);Tel Aviv;1;2022;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
Google Cloud;United States of America;USA;Saudi Arabia;SRB;me-central2 (Dammam);Dammam;1;2023;https://docs.cloud.google.com/compute/docs/regions-zones;;;;
